"Source","Original_Value","Original_Unit","Harmonized_Value","Harmonized_Unit","Harmonized_Age_Group"
"infant_age",5,"day",0.0136986301369863,"year","infant"
"infant_age",5,"day",0.0136986301369863,"year","infant"
"infant_age",5,"day",0.0136986301369863,"year","infant"
"infant_age",5,"day",0.0136986301369863,"year","infant"
"infant_age",5,"day",0.0136986301369863,"year","infant"
"infant_age",5,"day",0.0136986301369863,"year","infant"
"infant_age",5,"day",0.0136986301369863,"year","infant"
"infant_age",6,"day",0.0164383561643836,"year","infant"
"infant_age",6,"day",0.0164383561643836,"year","infant"
"infant_age",6,"day",0.0164383561643836,"year","infant"
"infant_age",6,"day",0.0164383561643836,"year","infant"
"infant_age",6,"day",0.0164383561643836,"year","infant"
"infant_age",6,"day",0.0164383561643836,"year","infant"
"infant_age",6,"day",0.0164383561643836,"year","infant"
"infant_age",6,"day",0.0164383561643836,"year","infant"
"infant_age",6,"day",0.0164383561643836,"year","infant"
"infant_age",6,"day",0.0164383561643836,"year","infant"
"infant_age",6,"day",0.0164383561643836,"year","infant"
"infant_age",6,"day",0.0164383561643836,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
"infant_age",7,"day",0.0191780821917808,"year","infant"
